id,purpose_validated,dur_in_sec,hour_start,hour_end,day_of_month,week,dist_gtfsstops_all,dist_gtfsstops_train,dist_gtfsstops_tram,dist_gtfsstops_bus,day
96,wait,674.2040000000002,6,6,23,47,13.845747763276481,75.42096229968249,36985.01310861398,13.845747763276481,3
97,home,851.5120009999999,6,6,5,1,375.07560299031616,3262.937504198843,11181.733953709305,375.07560299031616,3
98,errand,1166.931,12,12,5,40,71.07374978760829,675.4440413664395,135594.69296795328,71.07374978760829,3
99,errand,1993.8210010000003,16,17,20,25,135.6569951979125,1011.6102118332184,45503.115881243604,135.6569951979125,1
100,home,6548.391000000001,13,15,13,15,502.78634526003503,1283.4619409396953,52109.57763411325,502.78634526003503,3
101,home,60120.10600000001,17,10,16,15,588.4235146768292,2736.184242782945,49518.509883840976,588.4235146768292,6
102,work,36515.247,6,16,21,34,75.79080022563134,608.7859080466328,75.79080022563134,75.79080022563134,0
103,leisure,1780.0,10,11,19,46,167.142175756938,774.6034705804477,34097.343062690066,167.142175756938,6
104,wait,438.123001,4,4,4,31,10.399166279925264,77.07867841441174,36981.773569797646,10.399166279925264,4
105,wait,358.0,9,9,11,15,54.41574881142795,166.5994449572745,54.41574881142795,54.41574881142795,1
106,work,18094.923000000006,5,10,31,22,194.76056551327633,300.93352582620645,194.76056551327633,194.76056551327633,2
107,leisure,13456.753,17,21,3,22,104.44472790286136,136.11778215683216,17124.106207408826,104.44472790286136,5
108,leisure,8093.770998999999,18,20,10,41,760836.9321989502,760836.9321989502,869635.637086087,846811.9550047837,1
109,errand,346.3829990000001,13,14,16,50,170.79838091426166,185.43018594268082,22137.999731635748,170.79838091426166,5
110,leisure,3616.0,19,20,26,34,263.7271491647396,913.5526061157648,68192.82990986588,263.7271491647396,5
111,work,488.81000100000006,6,6,29,13,310.1359126094211,705.7715253732075,310.1359126094211,310.1359126094211,2
112,errand,811.932,9,9,30,5,138.17939249240771,834.4251484000748,48146.58631100496,138.17939249240771,0
113,wait,402.087001,15,15,20,42,6.358809506930085,54.46195444182182,6.358809506930085,6.358809506930085,4
114,errand,1526.099999,12,12,1,13,244.42760987046424,899.1773659258478,3653.8347016203634,244.42760987046424,5
115,work,6119.999001,8,10,22,21,209.87672825216987,285.8694396336446,7927.157311147278,209.87672825216987,0
116,home,2776.582000000001,22,23,10,2,44.88422947502527,312.37611854237656,2845.269817678254,44.88422947502527,1
117,wait,419.976999,6,6,7,10,33.60918371356523,33.60918371356523,42004.48222585877,33.60918371356523,1
118,errand,2887.599,18,19,1,48,67.68929815789862,354.2862682702131,31727.59811365183,67.68929815789862,4
119,leisure,1200.0,10,10,17,24,2045.5815050582275,2784.2124056487,26809.404094448124,2045.5815050582275,5
120,home,483.15400000000005,19,19,26,47,96.889431386876,1469.7597674467465,26140.020087752706,96.889431386876,6
121,leisure,4802.83,11,12,2,48,340.3019260469188,429.0831769913744,41904.45008124489,340.3019260469188,4
122,work,16314.213000000002,13,17,31,5,121.64659151489992,1684.7145247360932,121.64659151489992,121.64659151489992,1
123,work,25106.070000000003,7,14,31,22,270.7565411058466,729.1904070490292,34885.27287734615,270.7565411058466,2
124,home,1107.8590000000004,5,5,12,50,686.0203019441717,2479.537599148177,4518.301138807455,686.0203019441717,1
125,errand,6108.615000000002,20,21,28,48,72.39637302541388,957.3435027618691,34756.56998753105,72.39637302541388,1
126,leisure,5199.746,17,19,21,8,285.73569681793225,1184.8440731027295,26602.495703208187,285.73569681793225,1
127,work,12378.204000000002,7,10,27,4,162.34662314254024,218.88120457654875,1330.9194744262875,162.34662314254024,4
128,work,10313.453,12,15,16,50,75.40908437805253,646.1386693418623,75.40908437805253,75.40908437805253,4
129,wait,478.542,5,5,1,18,29.21550498204471,29.21550498204471,41793.168360233234,76.07790827889619,0
130,leisure,3964.832,5,6,7,14,167.99530026350956,527.5354055906945,47664.242221802626,167.99530026350956,4
131,home,42255.0,17,4,28,26,65.24271686584424,5779.0575073676755,33947.19929458806,65.24271686584424,2
132,wait,592.38,14,14,11,23,203.50413462124598,842.1153712335123,439.01748413858365,203.50413462124598,6
133,home,21471.377999999997,11,17,26,12,766.0602630102551,1612.9878375780484,40672.89486036599,766.0602630102551,6
134,home,27445.108001,22,6,24,4,670.6500899440257,1905.2379192072242,57229.186553400286,670.6500899440257,1
135,leisure,12767.066001,17,21,13,7,130.53311389329747,663.4419344876998,130.53311389329747,130.53311389329747,0
136,leisure,788.0,17,17,25,30,266.4759747589989,1414.0573189648323,67977.05318959808,266.4759747589989,1
137,errand,1239.506,16,16,16,42,41.844476310106934,41.844476310106934,49725.314355974646,41.844476310106934,0
138,errand,695.215,10,10,24,51,53.851031988704264,426.0248458649446,8204.321311579351,53.851031988704264,5
139,work,9755.766999,11,14,13,41,233.25539370451983,348.5082536476835,233.25539370451983,233.25539370451983,4
140,wait,372.881,5,5,7,27,20.363528898564013,68.51808329201779,179.3832174622526,20.363528898564013,4
141,work,14892.000000000002,6,10,25,4,187.72328617858756,279.8397002655275,227.66882485231145,187.72328617858756,3
142,home,42042.075999999994,17,4,22,3,4603520.235352172,4642781.589567047,4791315.441250869,4603520.235352172,6
143,leisure,8808.376999,6,9,25,8,82.65540994831359,11368.502647840305,81257.59842951813,82.65540994831359,5
144,wait,671.9689999999999,15,15,11,49,55.57521361885966,56.91949703999271,55.57521361885966,55.57521361885966,6
145,wait,340.919999,16,17,24,8,168.858977576724,220.0256948870912,12701.504990070991,168.858977576724,4
146,work,5494.8110000000015,12,13,19,25,84.59658917223601,371.01528645996126,35233.47017332341,84.59658917223601,0
147,wait,475.115,19,19,17,7,13.673829823722533,56.413503885992135,13.673829823722533,13.673829823722533,4
148,work,7914.266,12,14,17,20,85.85654502740006,698.6772573813481,19389.92467275011,85.85654502740006,2
149,wait,400.45099999999996,5,5,24,12,17.860424595423645,71.53696033206741,36986.94035270499,17.860424595423645,4
150,work,15694.000000000002,8,12,7,23,13.422800985423164,6412.427925464408,33736.94557514818,13.422800985423164,2
151,wait,583.744999,16,16,23,34,52.315675496677294,106.5229273156414,52.315675496677294,52.315675496677294,2
152,home,31458.591001,18,2,4,36,107.48220228679995,1111.4456936899433,961.832952783965,107.48220228679995,0
153,home,159959.0,11,8,1,1,513.4590728426074,1295.9484821670653,22942.69407354773,513.4590728426074,0
154,home,40432.998999999996,18,5,4,31,47361.56769874894,69202.26313143884,211130.54290642575,47361.56769874894,4
155,work,945.9989999999999,17,17,10,19,201.65267831467185,9904.043572675551,5068.676136946951,201.65267831467185,2
156,home,570.072,23,23,10,49,120.9822128918278,690.8735710175072,34709.80963972928,120.9822128918278,5
157,wait,1300.922001,17,17,7,45,90.45615915187979,90.45615915187979,43010.70143471036,90.45615915187979,1
158,home,564.0,15,15,2,1,143.76699665944642,1201.447304790575,42057.2401237213,143.76699665944642,1
159,work,7968.600001000002,12,15,30,26,128.2498258922742,995.7104788039309,36749.91739574108,128.2498258922742,4
160,home,47360.358,16,5,26,4,66.111062336549,544.0728838490968,66.111062336549,66.111062336549,3
161,leisure,3899.168999,19,20,15,50,34.981032160560886,1238.9379677244785,35078.690405456684,34.981032160560886,4
162,home,40604.513999999996,19,6,28,48,377.5595559823395,4049.599520990516,11671.364514066323,377.5595559823395,1
163,leisure,3484.039,14,15,11,10,230.2242857534769,1442.0655069841337,3529.7597002184266,230.2242857534769,5
164,home,418.0,21,21,26,4,274.9212375771492,1566.395710933444,38284.16010684018,274.9212375771492,4
165,leisure,3076.5019989999996,12,12,30,39,164.6982229269924,477.82174439090164,39226.679411970734,164.6982229269924,5
166,home,10478.082999,9,12,14,41,120.8615955542844,3716.872371766563,79921.34162785787,120.8615955542844,5
167,errand,452.0,17,17,30,52,756.2352491952287,2317.2240511456453,20236.084768610668,756.2352491952287,5
168,wait,2020.306999,10,11,5,1,14501377.135307718,14501377.135307718,14773590.030055178,14646566.415520795,3
169,home,10191.882,12,15,8,27,233.99878625084926,523.4205930632725,35171.303131730696,233.99878625084926,5
170,leisure,816.495001,8,8,12,41,311012.05188856344,311012.05188856344,498317.8479740318,338539.1157277794,3
171,leisure,764.0639990000002,12,12,11,49,42.954474807253845,86.04258817048607,148000.21906841276,81.98159241382722,6
172,work,8693.071001,17,20,6,40,16.768071714142877,684.7768673704168,16.768071714142877,16.768071714142877,4
173,errand,5504.960999999999,16,17,29,13,52.154500265276305,687.3653559446306,20128.54357199297,52.154500265276305,2
174,work,15790.127999,12,16,10,10,217.25028900398064,281.540391447166,7925.981048398227,217.25028900398064,4
175,leisure,1532.1180000000004,8,8,16,46,37.525127659138064,1210.7947449475987,18170.626891906973,37.525127659138064,3
176,leisure,3060.0,12,13,4,31,22.4090307347865,11251.420792838904,65598.92766672856,22.4090307347865,4
177,work,22945.298999,10,16,4,36,83.70552259368407,590.7008797874736,83.70552259368407,225.2968076066249,0
178,leisure,2670.692,16,16,24,43,4289.117819904218,4289.117819904218,74413.2787267128,71875.09070053576,1
179,wait,378.0,14,14,31,5,291.21171368907983,982.4082666496485,47813.133133242874,291.21171368907983,2
180,errand,555.4579990000002,18,18,6,1,74.765130174104,761.622614103138,35081.68424875857,74.765130174104,4
181,wait,345.3420000000001,6,6,24,12,18.994506384706426,265.02577832789774,18.994506384706426,18.994506384706426,4
182,errand,584.057999,7,8,11,45,18.433226057696523,53.74003141921221,74855.00944302294,18.433226057696523,5
183,leisure,917.46,9,9,9,49,253.69189372130955,5468.558584784882,38730.71289093152,253.69189372130955,5
184,work,9515.0,10,13,15,7,118.60243826561144,1003.2482052427271,36747.725432266765,118.60243826561144,2
