id,dur_in_sec,hour_start,hour_end,day_of_month,week,dist_gtfsstops_all,dist_gtfsstops_train,dist_gtfsstops_tram,dist_gtfsstops_bus,day
22148,2894.374001,15,16,9,32,5.1659212807459225,5.1659212807459225,23137.918000116006,32.81643013001481,2
22149,1174.0500000000004,7,8,13,46,155.13733465721276,1047.3407291004614,36821.899291029964,155.13733465721276,0
22150,7644.723000000001,5,7,13,37,127.8070169510405,1683.4387556039298,127.8070169510405,127.8070169510405,2
22151,541.914,11,11,8,45,88.518694735448,128.84282797567968,222.56640123289162,88.518694735448,2
22152,5120.0,10,11,30,52,248.41552921013974,2908.083849339385,34162.96156215292,248.41552921013974,5
22153,44294.33300000001,19,7,16,42,297.7758812681287,557.1395762488406,18413.916125783395,297.7758812681287,0
22154,8351.343,9,12,19,33,291.73036560408065,1554.6891290929086,38279.02742728428,291.73036560408065,5
22155,29701.043999999998,21,5,4,31,412.2045976992438,3312.035208676109,11178.610477181315,412.2045976992438,4
22156,895.3800010000001,13,14,22,42,231.28483403821448,1637.8167478689902,132838.42410963535,231.28483403821448,6
22157,331.5490000000001,15,15,10,23,43.32543871472463,757.6790773465085,43.32543871472463,410.688503422888,5
22158,53022.090999,17,8,9,10,208.6332903531142,789.4675438063202,208.6332903531142,237.54506745493381,3
22159,18363.065,10,15,3,14,36.29065976183588,600.0697448088779,36.29065976183588,36.29065976183588,0
22160,2962.414,10,11,9,27,798.9345788621033,2727.391432518581,40629.087518706896,798.9345788621033,6
22161,17392.432999,8,13,2,35,280.2647139479953,1340.8775392453738,35701.222674706645,280.2647139479953,5
22162,2161.097001,1,1,7,14,193.12042084257516,737.8034712327832,34773.92811360645,193.12042084257516,4
22163,14574.03,7,11,6,49,159.84611320324146,1167.0913905836994,248.0410256665112,159.84611320324146,1
22164,2763.2720000000004,15,16,18,7,448.5387200364341,714.225709497682,448.5387200364341,481.76566093637376,5
22165,632.042001,10,10,29,22,113.59679492643255,257.37327371110945,18596.998559889882,113.59679492643255,0
22166,3233.913999000001,7,7,5,36,71.1186956277305,92.95465170851408,71.1186956277305,71.1186956277305,1
22167,789.7190009999999,10,10,3,14,60.963378818505156,76.80053156181656,249.93611445304703,249.93611445304703,0
22168,1923.0,10,10,24,51,140.63399124384142,2018.7007083318435,14994.186421825256,140.63399124384142,6
22169,4018.0000000000014,15,16,31,52,19.772841093879357,19.772841093879357,36134.36425243209,69.24583319634911,6
22170,526.9490000000002,4,4,6,36,172.23121430197224,2979.822492322604,78944.43942440533,172.23121430197224,2
22171,6928.982000000001,7,9,29,35,153.01895600058427,812.2916628487366,10800.988912578028,153.01895600058427,1
22172,8003.135,15,18,31,52,195.22343280385647,489.4396850120268,75783.07349782297,195.22343280385647,5
22173,704.205,13,13,20,33,2928.8641305601923,13204.3956056398,45822.48214949624,2928.8641305601923,6
22174,3742.691999,1,2,3,44,123.62892232911007,938.5056322413226,6802.349035791956,123.62892232911007,4
22175,9342.001,23,2,3,5,766726.3769876747,766726.3769876747,1041153.043833832,815795.3619316098,4
22176,5197.691000000002,16,18,29,39,61.46016991060425,406.8556324385309,35805.580899782486,61.46016991060425,4
22177,375.404,12,12,27,48,98.72408320358628,498.6793657648042,268.63656876355253,120.86250221380148,0
22178,20136.089999,10,16,25,39,81.14106856441606,148.4562600276897,22673.1485089428,81.14106856441606,0
22179,566.279001,21,21,22,16,6326440.6669056825,6326440.6669056825,6392429.440530801,6386302.990996555,5
22180,1346.581001,11,11,9,36,137.82730937973193,582.0519741936697,35543.83853496037,137.82730937973193,5
22181,43904.63400000001,19,8,15,7,321.3996953161679,321.3996953161679,58208.938013210354,321.3996953161679,2
22182,5037.277,14,15,18,38,249.34839148034317,535.1677148075107,35161.85125442956,249.34839148034317,0
22183,3486.1820009999997,15,16,6,1,162.3352590939113,231.86885134105373,36233.015077807846,162.3352590939113,4
22184,926.0,10,10,25,8,878.8476463900822,4534.889730055957,48809.03563054852,1904.8126087965252,5
